ID date mm Flag
200 1970-11-05  0.57 E311
200 1970-11-06  0.01 E311
200 1970-11-25  0.46 E311
200 1970-11-26  0.24 E311
200 1970-11-28  0.69 E311
200 1970-11-29  1.75 E311
200 1970-11-30  0.24 E311
200 1970-12-01  0.05 E311
200 1970-12-02  0.18 E311
200 1970-12-16  0.32 E311
200 1970-12-17  0.03 E311
200 1970-12-18  1.81 E311
200 1970-12-19  0.15 E311
200 1970-12-20  0.21 E311
200 1970-12-21  0.89 E311
200 1970-12-22  0.03 E311
200 1970-12-26  0.23 E311
200 1970-12-27  0.11 E311
200 1971-01-02  0.12 E311
200 1971-01-12  0.19 E311
200 1971-01-13  0.50 E311
200 1971-02-16  0.44 E311
200 1971-02-17  0.30 E311
200 1971-03-12  0.82 E311
200 1971-03-13  0.09 E311
200 1971-04-14  0.64 E311
200 1971-04-17  0.03 E311
200 1971-05-02  0.01 E311
200 1971-05-06  0.01 E311
200 1971-05-07  0.11 E311
200 1971-05-27  0.62 E311
200 1971-05-28  0.36 E311
200 1971-07-16  0.02 E311
200 1971-07-30  0.02 E311
200 1971-10-16  0.02 E311
200 1971-11-11  0.35 E311
200 1971-11-12  0.01 E311
200 1971-12-02  0.18 E311
200 1971-12-12  0.14 E311
200 1971-12-21  0.28 E311
200 1971-12-22  1.30 E311
200 1971-12-23  0.07 E311
200 1971-12-24  0.83 E311
200 1971-12-25  0.97 E311
200 1971-12-26  0.65 E311
200 1971-12-27  0.91 E311
200 1971-12-28  0.44 E311
200 1972-01-27  0.26 E311
200 1972-02-05  0.46 E311
200 1972-04-11  0.16 E311
200 1972-06-07  0.01 E311
200 1972-10-03  0.03 E311
200 1972-10-14  0.46 E311
200 1972-11-04  0.28 E311
200 1972-11-10  0.03 E311
200 1972-11-11  0.74 E311
200 1972-11-13  0.12 E311
200 1972-11-14  1.78 E311
200 1972-11-15  1.38 E311
200 1972-11-16  1.93 E311
200 1972-11-17  0.09 E311
200 1972-12-04  0.62 E311
200 1972-12-06  0.28 E311
200 1973-01-08  0.37 E311
200 1973-01-09  0.30 E311
200 1973-01-16  2.66 E311
200 1973-01-18  2.75 E311
200 1973-01-29  0.07 E311
200 1973-02-03  0.78 E311
200 1973-02-04  0.15 E311
200 1973-02-05  0.26 E311
200 1973-02-06  0.68 E311
200 1973-02-07  0.17 E311
200 1973-02-09  0.11 E311
200 1973-02-10  1.84 E311
200 1973-02-11  0.85 E311
200 1973-02-12  0.68 E311
200 1973-02-14  0.10 E311
200 1973-02-24  0.76 E311
200 1973-02-27  1.73 E311
200 1973-02-28  0.17 E311
200 1973-03-06  0.11 E311
200 1973-03-08  0.50 E311
200 1973-03-11  0.20 E311
200 1973-03-19  0.49 E311
200 1973-03-20  0.52 E311
200 1973-03-21  0.29 E311
200 1973-08-04  0.01 E311
200 1973-10-08  0.07 E311
200 1973-10-22  0.14 E311
200 1973-10-23  0.14 E311
200 1973-11-14  0.11 E311
200 1973-11-17  0.16 E311
200 1973-11-18  0.72 E311
200 1973-11-19  0.02 E311
200 1973-11-22  0.41 E311
200 1973-12-01  1.09 E311
200 1973-12-21  0.19 E311
200 1973-12-27  0.05 E311
200 1973-12-31  0.10 E311
200 1974-01-02  0.01 E311
200 1974-01-04  0.06 E311
200 1974-01-05  2.37 E311
200 1974-01-06  0.55 E311
200 1974-01-07  1.45 E311
200 1974-01-08  1.95 E311
200 1974-01-09  0.02 E311
200 1974-01-12  0.15 E311
200 1974-01-13  0.14 E311
200 1974-01-17  0.32 E311
200 1974-01-18  0.46 E311
200 1974-01-20  0.25 E311
200 1974-02-28  0.22 E311
200 1974-03-01  1.25 E311
200 1974-03-02  0.69 E311
200 1974-03-03  0.17 E311
200 1974-03-07  1.20 E311
200 1974-03-08  0.03 E311
200 1974-03-25  0.08 E311
200 1974-03-26  0.66 E311
200 1974-03-27  0.15 E311
200 1974-03-28  0.03 E311
200 1974-03-30  0.34 E311
200 1974-04-01  0.17 E311
200 1974-04-23  0.01 E311
200 1974-04-24  0.01 E311
200 1974-07-30  0.01 E311
200 1974-09-11  0.00 E311
200 1974-09-12  0.00 E311
200 1974-10-07  0.02 E311
200 1974-10-08  0.00 E311
200 1974-10-20  0.00 E311
200 1974-10-21  0.00 E311
200 1974-10-23  0.00 E311
200 1974-10-27  0.00 E311
200 1974-10-28  0.55 E311
200 1974-10-29  0.02 E311
200 1974-10-31  0.00 E311
200 1974-11-21  0.06 E311
200 1974-12-03  2.58 E311
200 1974-12-04  0.73 E311
200 1974-12-27  1.09 E311
200 1974-12-28  1.18 E311
200 1974-12-30  0.00 E311
200 1975-01-30  0.32 E311
200 1975-01-31  0.21 E311
200 1975-02-01  0.57 E311
200 1975-02-02  1.72 E311
200 1975-02-03  0.27 E311
200 1975-02-04  0.36 E311
200 1975-02-08  0.43 E311
200 1975-02-09  1.47 E311
200 1975-02-10  0.14 E311
200 1975-02-13  0.00 E311
200 1975-03-04  0.00 E311
200 1975-03-05  1.03 E311
200 1975-03-06  0.91 E311
200 1975-03-07  1.44 E311
200 1975-03-08  0.19 E311
200 1975-03-10  0.53 E311
200 1975-03-13  0.42 E311
200 1975-03-16  0.12 E311
200 1975-03-21  0.11 E311
200 1975-03-22  0.43 E311
200 1975-03-25  0.00 E311
200 1975-04-05  0.55 E311
200 1975-04-06  0.45 E311
200 1975-04-08  0.00 E311
200 1975-04-14  0.00 E311
200 1975-04-24  0.05 E311
200 1975-05-19  0.00 E311
200 1975-05-26  0.00 E311
200 1975-05-27  0.09 E311
200 1975-05-29  0.00 E311
200 1975-05-30  0.00 E311
200 1975-06-03  0.00 E311
200 1975-06-09  0.00 E311
200 1975-06-10  0.00 E311
200 1975-06-11  0.00 E311
200 1975-06-13  0.00 E311
200 1975-06-16  0.00 E311
200 1975-06-23  0.00 E311
200 1975-07-30  0.00 E311
200 1975-08-18  0.01 E311
200 1975-10-10  0.21 E311
200 1975-10-11  0.01 E311
200 1975-10-30  0.13 E311
200 1975-11-28  0.15 E311
200 1975-12-10  0.01 E311
200 1975-12-12  0.06 E311
200 1976-02-04  0.04 E311
200 1976-02-05  0.89 E311
200 1976-02-06  0.22 E311
200 1976-02-07  0.59 E311
200 1976-02-08  0.77 E311
200 1976-02-09  2.05 E311
200 1976-02-10  0.12 E311
200 1976-02-14  0.02 E311
200 1976-02-23  0.09 E311
200 1976-02-29  0.21 E311
200 1976-03-01  0.55 E311
200 1976-03-02  0.52 E311
200 1976-03-03  0.08 E311
200 1976-03-09  0.02 E311
200 1976-04-03  0.08 E311
200 1976-04-08  0.27 E311
200 1976-04-10  0.02 E311
